sample	project	cells_after_qc
SAMN13067490	PRJNA518131	1750
SAMN13067491	PRJNA518131	2455
SAMN13067492	PRJNA518131	312
SAMN13067493	PRJNA518131	1295
SAMN13067494	PRJNA518131	1258
SAMN13067495	PRJNA518131	1226
SAMN13067496	PRJNA518131	453
SAMN13067497	PRJNA518131	2023
SAMN13067498	PRJNA518131	940
SAMN13067499	PRJNA518131	2181
SAMN13067500	PRJNA518131	2327
SAMN13067501	PRJNA518131	3220
SAMN13067502	PRJNA518131	318
SAMN13067503	PRJNA518131	398
SAMN13067504	PRJNA518131	699
SAMN13067505	PRJNA518131	309
SAMN13067506	PRJNA518131	377
SAMN13067507	PRJNA518131	1656
SAMN13067508	PRJNA518131	5267
SAMN13067532	PRJNA518131	632
SAMN13067533	PRJNA518131	1146
SAMN13067551	PRJNA518131	291
SAMN13067552	PRJNA518131	1143
SAMN13067553	PRJNA518131	1700
SAMN13067554	PRJNA518131	1478
SAMN13067555	PRJNA518131	362
SAMN17136757	PRJNA687170	10722
SAMN17284348	PRJNA687170	33002
SAMN17284349	PRJNA687170	22750
SAMN17284350	PRJNA687170	17518
SAMN17284351	PRJNA687170	13891
SAMN17284352	PRJNA687170	10504
SAMN17284353	PRJNA687170	10714
SAMN17284354	PRJNA687170	8677
SAMN17284355	PRJNA687170	9768
SAMN17284356	PRJNA687170	2332
SAMN17284357	PRJNA687170	8183
SAMN17284366	PRJNA687170	19902
SAMN17284374	PRJNA687170	19846
SAMN17284375	PRJNA687170	17051
SAMN17284377	PRJNA687170	15801
SAMN23551199	PRJNA785181	15892
SAMN23551200	PRJNA785181	8074
SAMN23551201	PRJNA785181	11153
SAMN23551202	PRJNA785181	10728
SAMN37873687	PRJNA1029546	3486
